,name,skin_tone,gender,age,real_face,aug_name,aug_cat
1974,TRAIN1974.png,monk_5,male,18_30,1,AUG_monk_5_21_TRAIN1974.png,skin_tone
2415,TRAIN2415.png,monk_5,female,18_30,1,AUG_monk_5_22_TRAIN2415.png,skin_tone
1235,TRAIN1235.png,monk_5,female,18_30,1,AUG_monk_5_23_TRAIN1235.png,skin_tone
2567,TRAIN2567.png,monk_5,male,0_17,1,AUG_monk_5_24_TRAIN2567.png,skin_tone
1658,TRAIN1658.png,monk_5,female,18_30,1,AUG_monk_5_25_TRAIN1658.png,skin_tone
996,TRAIN0996.png,monk_5,female,18_30,1,AUG_monk_5_26_TRAIN0996.png,skin_tone
2945,TRAIN2945.png,monk_5,female,18_30,1,AUG_monk_5_27_TRAIN2945.png,skin_tone
1336,TRAIN1336.png,monk_5,female,0_17,1,AUG_monk_5_28_TRAIN1336.png,skin_tone
893,TRAIN0893.png,monk_5,male,31_60,1,AUG_monk_5_29_TRAIN0893.png,skin_tone
1095,TRAIN1095.png,monk_5,male,18_30,1,AUG_monk_5_30_TRAIN1095.png,skin_tone
1095,TRAIN1095.png,monk_5,male,18_30,1,AUG_monk_5_31_TRAIN1095.png,skin_tone
3749,TRAIN3749.png,monk_5,male,31_60,1,AUG_monk_5_32_TRAIN3749.png,skin_tone
2658,TRAIN2658.png,monk_5,female,18_30,1,AUG_monk_5_33_TRAIN2658.png,skin_tone
110,TRAIN0110.png,monk_5,female,18_30,1,AUG_monk_5_34_TRAIN0110.png,skin_tone
1131,TRAIN1131.png,monk_5,female,18_30,1,AUG_monk_5_35_TRAIN1131.png,skin_tone
3032,TRAIN3032.png,monk_5,male,31_60,1,AUG_monk_5_36_TRAIN3032.png,skin_tone
2011,TRAIN2011.png,monk_5,male,31_60,1,AUG_monk_5_37_TRAIN2011.png,skin_tone
4137,TRAIN4137.png,monk_5,female,18_30,1,AUG_monk_5_38_TRAIN4137.png,skin_tone
3634,TRAIN3634.png,monk_5,female,31_60,1,AUG_monk_5_39_TRAIN3634.png,skin_tone
3739,TRAIN3739.png,monk_5,female,18_30,1,AUG_monk_5_40_TRAIN3739.png,skin_tone
4444,TRAIN4444.png,monk_5,female,18_30,1,AUG_monk_5_41_TRAIN4444.png,skin_tone
1505,TRAIN1505.png,monk_5,female,31_60,1,AUG_monk_5_42_TRAIN1505.png,skin_tone
4709,TRAIN4709.png,monk_5,female,18_30,1,AUG_monk_5_43_TRAIN4709.png,skin_tone
1354,TRAIN1354.png,monk_5,male,31_60,1,AUG_monk_5_44_TRAIN1354.png,skin_tone
3609,TRAIN3609.png,monk_5,male,18_30,1,AUG_monk_5_45_TRAIN3609.png,skin_tone
4151,TRAIN4151.png,monk_5,female,18_30,1,AUG_monk_5_46_TRAIN4151.png,skin_tone
4254,TRAIN4254.png,monk_5,female,18_30,1,AUG_monk_5_47_TRAIN4254.png,skin_tone
776,TRAIN0776.png,monk_5,female,31_60,1,AUG_monk_5_48_TRAIN0776.png,skin_tone
2988,TRAIN2988.png,monk_5,female,18_30,1,AUG_monk_5_49_TRAIN2988.png,skin_tone
2827,TRAIN2827.png,monk_5,female,31_60,1,AUG_monk_5_50_TRAIN2827.png,skin_tone
2418,TRAIN2418.png,monk_5,male,18_30,1,AUG_monk_5_51_TRAIN2418.png,skin_tone
934,TRAIN0934.png,monk_5,female,18_30,1,AUG_monk_5_52_TRAIN0934.png,skin_tone
3348,TRAIN3348.png,monk_5,female,0_17,1,AUG_monk_5_53_TRAIN3348.png,skin_tone
4535,TRAIN4535.png,monk_5,male,31_60,1,AUG_monk_5_54_TRAIN4535.png,skin_tone
109,TRAIN0109.png,monk_5,male,18_30,1,AUG_monk_5_55_TRAIN0109.png,skin_tone
975,TRAIN0975.png,monk_5,male,0_17,1,AUG_monk_5_56_TRAIN0975.png,skin_tone
4364,TRAIN4364.png,monk_5,female,31_60,1,AUG_monk_5_57_TRAIN4364.png,skin_tone
4195,TRAIN4195.png,monk_5,male,0_17,1,AUG_monk_5_58_TRAIN4195.png,skin_tone
2052,TRAIN2052.png,monk_5,female,18_30,1,AUG_monk_5_59_TRAIN2052.png,skin_tone
3149,TRAIN3149.png,monk_5,female,31_60,1,AUG_monk_5_60_TRAIN3149.png,skin_tone
517,TRAIN0517.png,monk_5,female,18_30,1,AUG_monk_5_61_TRAIN0517.png,skin_tone
4597,TRAIN4597.png,monk_5,female,31_60,1,AUG_monk_5_62_TRAIN4597.png,skin_tone
4930,TRAIN4930.png,monk_5,male,0_17,1,AUG_monk_5_63_TRAIN4930.png,skin_tone
2600,TRAIN2600.png,monk_5,female,0_17,1,AUG_monk_5_64_TRAIN2600.png,skin_tone
1601,TRAIN1601.png,monk_5,female,31_60,1,AUG_monk_5_65_TRAIN1601.png,skin_tone
2662,TRAIN2662.png,monk_5,female,61_100,1,AUG_monk_5_66_TRAIN2662.png,skin_tone
3757,TRAIN3757.png,monk_5,female,18_30,1,AUG_monk_5_67_TRAIN3757.png,skin_tone
3977,TRAIN3977.png,monk_5,male,0_17,1,AUG_monk_5_68_TRAIN3977.png,skin_tone
2584,TRAIN2584.png,monk_5,female,18_30,1,AUG_monk_5_69_TRAIN2584.png,skin_tone
1907,TRAIN1907.png,monk_5,female,31_60,1,AUG_monk_5_70_TRAIN1907.png,skin_tone
2077,TRAIN2077.png,monk_5,male,0_17,1,AUG_monk_5_71_TRAIN2077.png,skin_tone
4987,TRAIN4987.png,monk_5,female,0_17,1,AUG_monk_5_72_TRAIN4987.png,skin_tone
347,TRAIN0347.png,monk_5,male,31_60,1,AUG_monk_5_73_TRAIN0347.png,skin_tone
90,TRAIN0090.png,monk_5,female,0_17,1,AUG_monk_5_74_TRAIN0090.png,skin_tone
4072,TRAIN4072.png,monk_5,female,18_30,1,AUG_monk_5_75_TRAIN4072.png,skin_tone
282,TRAIN0282.png,monk_5,female,18_30,1,AUG_monk_5_76_TRAIN0282.png,skin_tone
1280,TRAIN1280.png,monk_5,male,0_17,1,AUG_monk_5_77_TRAIN1280.png,skin_tone
4624,TRAIN4624.png,monk_5,female,18_30,1,AUG_monk_5_78_TRAIN4624.png,skin_tone
4624,TRAIN4624.png,monk_5,female,18_30,1,AUG_monk_5_79_TRAIN4624.png,skin_tone
4546,TRAIN4546.png,monk_5,male,18_30,1,AUG_monk_5_80_TRAIN4546.png,skin_tone
201,TRAIN0201.png,monk_5,male,31_60,1,AUG_monk_5_81_TRAIN0201.png,skin_tone
1094,TRAIN1094.png,monk_5,female,18_30,1,AUG_monk_5_82_TRAIN1094.png,skin_tone
3899,TRAIN3899.png,monk_5,female,18_30,1,AUG_monk_5_83_TRAIN3899.png,skin_tone
324,TRAIN0324.png,monk_5,female,18_30,1,AUG_monk_5_84_TRAIN0324.png,skin_tone
3824,TRAIN3824.png,monk_5,female,18_30,1,AUG_monk_5_85_TRAIN3824.png,skin_tone
687,TRAIN0687.png,monk_5,male,0_17,1,AUG_monk_5_86_TRAIN0687.png,skin_tone
2011,TRAIN2011.png,monk_5,male,31_60,1,AUG_monk_5_87_TRAIN2011.png,skin_tone
4103,TRAIN4103.png,monk_5,male,18_30,1,AUG_monk_5_88_TRAIN4103.png,skin_tone
2341,TRAIN2341.png,monk_5,female,18_30,1,AUG_monk_5_89_TRAIN2341.png,skin_tone
3607,TRAIN3607.png,monk_5,female,18_30,1,AUG_monk_5_90_TRAIN3607.png,skin_tone
4152,TRAIN4152.png,monk_5,male,31_60,1,AUG_monk_5_91_TRAIN4152.png,skin_tone
4872,TRAIN4872.png,monk_5,female,18_30,1,AUG_monk_5_92_TRAIN4872.png,skin_tone
2448,TRAIN2448.png,monk_5,male,0_17,1,AUG_monk_5_93_TRAIN2448.png,skin_tone
1756,TRAIN1756.png,monk_5,male,31_60,1,AUG_monk_5_94_TRAIN1756.png,skin_tone
2830,TRAIN2830.png,monk_5,female,31_60,1,AUG_monk_5_95_TRAIN2830.png,skin_tone
25,TRAIN0025.png,monk_5,male,0_17,1,AUG_monk_5_96_TRAIN0025.png,skin_tone
901,TRAIN0901.png,monk_2,male,18_30,1,AUG_monk_2_0_TRAIN0901.png,skin_tone
3743,TRAIN3743.png,monk_2,male,0_17,1,AUG_monk_2_1_TRAIN3743.png,skin_tone
4309,TRAIN4309.png,monk_2,male,0_17,1,AUG_monk_2_2_TRAIN4309.png,skin_tone
835,TRAIN0835.png,monk_2,female,18_30,1,AUG_monk_2_3_TRAIN0835.png,skin_tone
675,TRAIN0675.png,monk_2,female,0_17,1,AUG_monk_2_4_TRAIN0675.png,skin_tone
142,TRAIN0142.png,monk_2,female,31_60,1,AUG_monk_2_5_TRAIN0142.png,skin_tone
1912,TRAIN1912.png,monk_2,male,0_17,1,AUG_monk_2_6_TRAIN1912.png,skin_tone
143,TRAIN0143.png,monk_2,female,18_30,1,AUG_monk_2_7_TRAIN0143.png,skin_tone
3720,TRAIN3720.png,monk_2,female,18_30,1,AUG_monk_2_8_TRAIN3720.png,skin_tone
1096,TRAIN1096.png,monk_2,male,0_17,1,AUG_monk_2_9_TRAIN1096.png,skin_tone
3575,TRAIN3575.png,monk_2,female,31_60,1,AUG_monk_2_10_TRAIN3575.png,skin_tone
1855,TRAIN1855.png,monk_2,female,31_60,1,AUG_monk_2_11_TRAIN1855.png,skin_tone
4471,TRAIN4471.png,monk_2,female,18_30,1,AUG_monk_2_12_TRAIN4471.png,skin_tone
1451,TRAIN1451.png,monk_2,male,61_100,1,AUG_monk_2_13_TRAIN1451.png,skin_tone
2561,TRAIN2561.png,monk_2,female,18_30,1,AUG_monk_2_14_TRAIN2561.png,skin_tone
2934,TRAIN2934.png,monk_2,male,18_30,1,AUG_monk_2_15_TRAIN2934.png,skin_tone
5091,TRAIN5091.png,monk_2,male,0_17,1,AUG_monk_2_16_TRAIN5091.png,skin_tone
4310,TRAIN4310.png,monk_2,male,0_17,1,AUG_monk_2_17_TRAIN4310.png,skin_tone
3933,TRAIN3933.png,monk_2,female,18_30,1,AUG_monk_2_18_TRAIN3933.png,skin_tone
3471,TRAIN3471.png,monk_2,female,18_30,1,AUG_monk_2_19_TRAIN3471.png,skin_tone
2607,TRAIN2607.png,monk_2,female,18_30,1,AUG_monk_2_20_TRAIN2607.png,skin_tone
3077,TRAIN3077.png,monk_2,female,31_60,1,AUG_monk_2_21_TRAIN3077.png,skin_tone
2707,TRAIN2707.png,monk_2,female,18_30,1,AUG_monk_2_22_TRAIN2707.png,skin_tone
3999,TRAIN3999.png,monk_2,male,0_17,1,AUG_monk_2_23_TRAIN3999.png,skin_tone
1485,TRAIN1485.png,monk_2,male,0_17,1,AUG_monk_2_24_TRAIN1485.png,skin_tone
4897,TRAIN4897.png,monk_2,female,0_17,1,AUG_monk_2_25_TRAIN4897.png,skin_tone
2153,TRAIN2153.png,monk_2,male,18_30,1,AUG_monk_2_26_TRAIN2153.png,skin_tone
1092,TRAIN1092.png,monk_2,male,31_60,1,AUG_monk_2_27_TRAIN1092.png,skin_tone
1096,TRAIN1096.png,monk_2,male,0_17,1,AUG_monk_2_28_TRAIN1096.png,skin_tone
3723,TRAIN3723.png,monk_2,female,0_17,1,AUG_monk_2_29_TRAIN3723.png,skin_tone
2893,TRAIN2893.png,monk_2,female,18_30,1,AUG_monk_2_30_TRAIN2893.png,skin_tone
2907,TRAIN2907.png,monk_2,male,0_17,1,AUG_monk_2_31_TRAIN2907.png,skin_tone
3817,TRAIN3817.png,monk_2,female,0_17,1,AUG_monk_2_32_TRAIN3817.png,skin_tone
1492,TRAIN1492.png,monk_2,female,31_60,1,AUG_monk_2_33_TRAIN1492.png,skin_tone
2949,TRAIN2949.png,monk_2,female,31_60,1,AUG_monk_2_34_TRAIN2949.png,skin_tone
2934,TRAIN2934.png,monk_2,male,18_30,1,AUG_monk_2_35_TRAIN2934.png,skin_tone
4106,TRAIN4106.png,monk_2,female,31_60,1,AUG_monk_2_36_TRAIN4106.png,skin_tone
4141,TRAIN4141.png,monk_2,female,18_30,1,AUG_monk_2_37_TRAIN4141.png,skin_tone
1580,TRAIN1580.png,monk_2,female,18_30,1,AUG_monk_2_38_TRAIN1580.png,skin_tone
4427,TRAIN4427.png,monk_2,female,18_30,1,AUG_monk_2_39_TRAIN4427.png,skin_tone
1811,TRAIN1811.png,monk_2,male,18_30,1,AUG_monk_2_40_TRAIN1811.png,skin_tone
5137,TRAIN5137.png,monk_2,female,18_30,1,AUG_monk_2_41_TRAIN5137.png,skin_tone
2024,TRAIN2024.png,monk_2,female,0_17,1,AUG_monk_2_42_TRAIN2024.png,skin_tone
2868,TRAIN2868.png,monk_2,female,0_17,1,AUG_monk_2_43_TRAIN2868.png,skin_tone
3157,TRAIN3157.png,monk_2,male,0_17,1,AUG_monk_2_44_TRAIN3157.png,skin_tone
5093,TRAIN5093.png,monk_2,female,31_60,1,AUG_monk_2_45_TRAIN5093.png,skin_tone
4302,TRAIN4302.png,monk_2,female,61_100,1,AUG_monk_2_46_TRAIN4302.png,skin_tone
1144,TRAIN1144.png,monk_2,female,31_60,1,AUG_monk_2_47_TRAIN1144.png,skin_tone
3918,TRAIN3918.png,monk_2,male,0_17,1,AUG_monk_2_48_TRAIN3918.png,skin_tone
4296,TRAIN4296.png,monk_2,female,18_30,1,AUG_monk_2_49_TRAIN4296.png,skin_tone
1083,TRAIN1083.png,monk_2,female,18_30,1,AUG_monk_2_50_TRAIN1083.png,skin_tone
581,TRAIN0581.png,monk_2,female,18_30,1,AUG_monk_2_51_TRAIN0581.png,skin_tone
2881,TRAIN2881.png,monk_2,female,18_30,1,AUG_monk_2_52_TRAIN2881.png,skin_tone
1129,TRAIN1129.png,monk_2,female,31_60,1,AUG_monk_2_53_TRAIN1129.png,skin_tone
5127,TRAIN5127.png,monk_2,female,18_30,1,AUG_monk_2_54_TRAIN5127.png,skin_tone
3046,TRAIN3046.png,monk_2,female,31_60,1,AUG_monk_2_55_TRAIN3046.png,skin_tone
5125,TRAIN5125.png,monk_2,female,18_30,1,AUG_monk_2_56_TRAIN5125.png,skin_tone
2718,TRAIN2718.png,monk_2,male,61_100,1,AUG_monk_2_57_TRAIN2718.png,skin_tone
3368,TRAIN3368.png,monk_2,male,18_30,1,AUG_monk_2_58_TRAIN3368.png,skin_tone
4228,TRAIN4228.png,monk_2,female,18_30,1,AUG_monk_2_59_TRAIN4228.png,skin_tone
3765,TRAIN3765.png,monk_2,female,18_30,1,AUG_monk_2_60_TRAIN3765.png,skin_tone
1637,TRAIN1637.png,monk_2,female,18_30,1,AUG_monk_2_61_TRAIN1637.png,skin_tone
3359,TRAIN3359.png,monk_2,female,0_17,1,AUG_monk_2_62_TRAIN3359.png,skin_tone
369,TRAIN0369.png,monk_2,male,18_30,1,AUG_monk_2_63_TRAIN0369.png,skin_tone
5093,TRAIN5093.png,monk_2,female,31_60,1,AUG_monk_2_64_TRAIN5093.png,skin_tone
4247,TRAIN4247.png,monk_2,female,0_17,1,AUG_monk_2_65_TRAIN4247.png,skin_tone
2220,TRAIN2220.png,monk_2,female,18_30,1,AUG_monk_2_66_TRAIN2220.png,skin_tone
1574,TRAIN1574.png,monk_2,female,18_30,1,AUG_monk_2_67_TRAIN1574.png,skin_tone
3278,TRAIN3278.png,monk_2,female,18_30,1,AUG_monk_2_68_TRAIN3278.png,skin_tone
4136,TRAIN4136.png,monk_2,female,0_17,1,AUG_monk_2_69_TRAIN4136.png,skin_tone
4141,TRAIN4141.png,monk_2,female,18_30,1,AUG_monk_2_70_TRAIN4141.png,skin_tone
587,TRAIN0587.png,monk_2,female,61_100,1,AUG_monk_2_71_TRAIN0587.png,skin_tone
553,TRAIN0553.png,monk_2,male,0_17,1,AUG_monk_2_72_TRAIN0553.png,skin_tone
254,TRAIN0254.png,monk_2,female,0_17,1,AUG_monk_2_73_TRAIN0254.png,skin_tone
711,TRAIN0711.png,monk_2,female,18_30,1,AUG_monk_2_74_TRAIN0711.png,skin_tone
2787,TRAIN2787.png,monk_2,female,0_17,1,AUG_monk_2_75_TRAIN2787.png,skin_tone
1471,TRAIN1471.png,monk_2,female,18_30,1,AUG_monk_2_76_TRAIN1471.png,skin_tone
2905,TRAIN2905.png,monk_2,female,18_30,1,AUG_monk_2_77_TRAIN2905.png,skin_tone
2038,TRAIN2038.png,monk_2,female,18_30,1,AUG_monk_2_78_TRAIN2038.png,skin_tone
3569,TRAIN3569.png,monk_2,male,0_17,1,AUG_monk_2_79_TRAIN3569.png,skin_tone
4857,TRAIN4857.png,monk_2,female,61_100,1,AUG_monk_2_80_TRAIN4857.png,skin_tone
4936,TRAIN4936.png,monk_2,male,18_30,1,AUG_monk_2_81_TRAIN4936.png,skin_tone
3999,TRAIN3999.png,monk_2,male,0_17,1,AUG_monk_2_82_TRAIN3999.png,skin_tone
5082,TRAIN5082.png,monk_2,female,18_30,1,AUG_monk_2_83_TRAIN5082.png,skin_tone
5121,TRAIN5121.png,monk_2,female,31_60,1,AUG_monk_2_84_TRAIN5121.png,skin_tone
2147,TRAIN2147.png,monk_2,female,18_30,1,AUG_monk_2_85_TRAIN2147.png,skin_tone
4646,TRAIN4646.png,monk_2,female,0_17,1,AUG_monk_2_86_TRAIN4646.png,skin_tone
2007,TRAIN2007.png,monk_2,female,18_30,1,AUG_monk_2_87_TRAIN2007.png,skin_tone
4141,TRAIN4141.png,monk_2,female,18_30,1,AUG_monk_2_88_TRAIN4141.png,skin_tone
1476,TRAIN1476.png,monk_2,male,18_30,1,AUG_monk_2_89_TRAIN1476.png,skin_tone
2283,TRAIN2283.png,monk_2,female,18_30,1,AUG_monk_2_90_TRAIN2283.png,skin_tone
1085,TRAIN1085.png,monk_2,female,0_17,1,AUG_monk_2_91_TRAIN1085.png,skin_tone
2552,TRAIN2552.png,monk_2,female,18_30,1,AUG_monk_2_92_TRAIN2552.png,skin_tone
1919,TRAIN1919.png,monk_2,male,0_17,1,AUG_monk_2_93_TRAIN1919.png,skin_tone
4958,TRAIN4958.png,monk_2,female,18_30,1,AUG_monk_2_94_TRAIN4958.png,skin_tone
1092,TRAIN1092.png,monk_2,male,31_60,1,AUG_monk_2_95_TRAIN1092.png,skin_tone
912,TRAIN0912.png,monk_2,female,31_60,1,AUG_monk_2_96_TRAIN0912.png,skin_tone
3569,TRAIN3569.png,monk_2,male,0_17,1,AUG_monk_2_97_TRAIN3569.png,skin_tone
3759,TRAIN3759.png,monk_2,female,31_60,1,AUG_monk_2_98_TRAIN3759.png,skin_tone
4318,TRAIN4318.png,monk_2,female,18_30,1,AUG_monk_2_99_TRAIN4318.png,skin_tone
3791,TRAIN3791.png,monk_2,male,18_30,1,AUG_monk_2_100_TRAIN3791.png,skin_tone
4362,TRAIN4362.png,monk_2,female,0_17,1,AUG_monk_2_101_TRAIN4362.png,skin_tone
2042,TRAIN2042.png,monk_6,female,18_30,1,AUG_monk_6_0_TRAIN2042.png,skin_tone
3289,TRAIN3289.png,monk_6,female,61_100,1,AUG_monk_6_1_TRAIN3289.png,skin_tone
276,TRAIN0276.png,monk_6,female,18_30,1,AUG_monk_6_2_TRAIN0276.png,skin_tone
4339,TRAIN4339.png,monk_6,female,18_30,1,AUG_monk_6_3_TRAIN4339.png,skin_tone
4723,TRAIN4723.png,monk_6,male,0_17,1,AUG_monk_6_4_TRAIN4723.png,skin_tone
2484,TRAIN2484.png,monk_6,female,31_60,1,AUG_monk_6_5_TRAIN2484.png,skin_tone
2213,TRAIN2213.png,monk_6,male,31_60,1,AUG_monk_6_6_TRAIN2213.png,skin_tone
3700,TRAIN3700.png,monk_6,female,31_60,1,AUG_monk_6_7_TRAIN3700.png,skin_tone
622,TRAIN0622.png,monk_6,female,0_17,1,AUG_monk_6_8_TRAIN0622.png,skin_tone
2436,TRAIN2436.png,monk_6,female,18_30,1,AUG_monk_6_9_TRAIN2436.png,skin_tone
2841,TRAIN2841.png,monk_6,female,31_60,1,AUG_monk_6_10_TRAIN2841.png,skin_tone
1352,TRAIN1352.png,monk_6,female,18_30,1,AUG_monk_6_11_TRAIN1352.png,skin_tone
985,TRAIN0985.png,monk_6,female,31_60,1,AUG_monk_6_12_TRAIN0985.png,skin_tone
4647,TRAIN4647.png,monk_6,male,18_30,1,AUG_monk_6_13_TRAIN4647.png,skin_tone
4260,TRAIN4260.png,monk_6,male,18_30,1,AUG_monk_6_14_TRAIN4260.png,skin_tone
1559,TRAIN1559.png,monk_6,male,0_17,1,AUG_monk_6_15_TRAIN1559.png,skin_tone
1694,TRAIN1694.png,monk_6,female,0_17,1,AUG_monk_6_16_TRAIN1694.png,skin_tone
3567,TRAIN3567.png,monk_6,male,31_60,1,AUG_monk_6_17_TRAIN3567.png,skin_tone
4656,TRAIN4656.png,monk_6,male,18_30,1,AUG_monk_6_18_TRAIN4656.png,skin_tone
241,TRAIN0241.png,monk_6,male,31_60,1,AUG_monk_6_19_TRAIN0241.png,skin_tone
2126,TRAIN2126.png,monk_6,male,18_30,1,AUG_monk_6_20_TRAIN2126.png,skin_tone
241,TRAIN0241.png,monk_6,male,31_60,1,AUG_monk_6_21_TRAIN0241.png,skin_tone
241,TRAIN0241.png,monk_6,male,31_60,1,AUG_monk_6_22_TRAIN0241.png,skin_tone
2206,TRAIN2206.png,monk_6,male,0_17,1,AUG_monk_6_23_TRAIN2206.png,skin_tone
2885,TRAIN2885.png,monk_6,male,31_60,1,AUG_monk_6_24_TRAIN2885.png,skin_tone
2284,TRAIN2284.png,monk_6,male,31_60,1,AUG_monk_6_25_TRAIN2284.png,skin_tone
4996,TRAIN4996.png,monk_6,male,0_17,1,AUG_monk_6_26_TRAIN4996.png,skin_tone
945,TRAIN0945.png,monk_6,male,31_60,1,AUG_monk_6_27_TRAIN0945.png,skin_tone
4385,TRAIN4385.png,monk_6,male,18_30,1,AUG_monk_6_28_TRAIN4385.png,skin_tone
4419,TRAIN4419.png,monk_6,male,0_17,1,AUG_monk_6_29_TRAIN4419.png,skin_tone
4339,TRAIN4339.png,monk_6,female,18_30,1,AUG_monk_6_30_TRAIN4339.png,skin_tone
923,TRAIN0923.png,monk_6,male,31_60,1,AUG_monk_6_31_TRAIN0923.png,skin_tone
2902,TRAIN2902.png,monk_6,female,61_100,1,AUG_monk_6_32_TRAIN2902.png,skin_tone
138,TRAIN0138.png,monk_6,male,18_30,1,AUG_monk_6_33_TRAIN0138.png,skin_tone
884,TRAIN0884.png,monk_6,male,61_100,1,AUG_monk_6_34_TRAIN0884.png,skin_tone
155,TRAIN0155.png,monk_6,female,31_60,1,AUG_monk_6_35_TRAIN0155.png,skin_tone
4996,TRAIN4996.png,monk_6,male,0_17,1,AUG_monk_6_36_TRAIN4996.png,skin_tone
1867,TRAIN1867.png,monk_6,male,18_30,1,AUG_monk_6_37_TRAIN1867.png,skin_tone
834,TRAIN0834.png,monk_6,female,18_30,1,AUG_monk_6_38_TRAIN0834.png,skin_tone
4140,TRAIN4140.png,monk_6,male,0_17,1,AUG_monk_6_39_TRAIN4140.png,skin_tone
1054,TRAIN1054.png,monk_6,male,31_60,1,AUG_monk_6_40_TRAIN1054.png,skin_tone
880,TRAIN0880.png,monk_6,male,18_30,1,AUG_monk_6_41_TRAIN0880.png,skin_tone
3109,TRAIN3109.png,monk_6,female,61_100,1,AUG_monk_6_42_TRAIN3109.png,skin_tone
4316,TRAIN4316.png,monk_6,female,18_30,1,AUG_monk_6_43_TRAIN4316.png,skin_tone
4379,TRAIN4379.png,monk_6,male,0_17,1,AUG_monk_6_44_TRAIN4379.png,skin_tone
174,TRAIN0174.png,monk_6,male,0_17,1,AUG_monk_6_45_TRAIN0174.png,skin_tone
1410,TRAIN1410.png,monk_6,male,18_30,1,AUG_monk_6_46_TRAIN1410.png,skin_tone
3722,TRAIN3722.png,monk_6,male,0_17,1,AUG_monk_6_47_TRAIN3722.png,skin_tone
622,TRAIN0622.png,monk_6,female,0_17,1,AUG_monk_6_48_TRAIN0622.png,skin_tone
1362,TRAIN1362.png,monk_6,male,0_17,1,AUG_monk_6_49_TRAIN1362.png,skin_tone
3670,TRAIN3670.png,monk_6,female,18_30,1,AUG_monk_6_50_TRAIN3670.png,skin_tone
2126,TRAIN2126.png,monk_6,male,18_30,1,AUG_monk_6_51_TRAIN2126.png,skin_tone
4990,TRAIN4990.png,monk_6,male,0_17,1,AUG_monk_6_52_TRAIN4990.png,skin_tone
